model,prompt,cwe,n,accuracy,recall,specificity,precision,f1
gpt-5,few-shot,CWE-614,67,0.9850746268656716,0.9722222222222222,1,1,0.9859154929577464
gpt-5,few-shot,CWE-643,35,0.9428571428571428,1,0.9,0.8823529411764706,0.9375
gpt-5,few-shot,CWE-78,251,0.9043824701195219,0.9285714285714286,0.88,0.8863636363636364,0.9069767441860465
gpt-5,few-shot,CWE-79,455,0.9538461538461539,1,0.8995215311004785,0.9213483146067416,0.9590643274853802
gpt-5,few-shot,CWE-89,504,0.9464285714285714,1,0.8836206896551724,0.9096989966555183,0.9527145359019265
gpt-5,few-shot,CWE-90,59,0.9152542372881356,1,0.84375,0.84375,0.9152542372881356
gpt-5-mini,zero-shot,CWE-22,268,0.9328358208955224,0.9398496240601504,0.9259259259259259,0.9259259259259259,0.9328358208955223
gpt-5-mini,zero-shot,CWE-327,246,0.8739837398373984,0.9923076923076923,0.7413793103448276,0.8113207547169812,0.8927335640138409
gpt-5-mini,zero-shot,CWE-328,236,0.6949152542372882,0.8294573643410853,0.5327102803738317,0.6815286624203821,0.7482517482517482
gpt-5-mini,zero-shot,CWE-330,493,0.7768762677484787,0.9908256880733946,0.6072727272727273,0.6666666666666666,0.7970479704797048
gpt-5-mini,zero-shot,CWE-614,67,0.9104477611940298,0.8333333333333334,1,1,0.9090909090909091
gpt-5-mini,zero-shot,CWE-643,35,0.9428571428571428,1,0.9,0.8823529411764706,0.9375
gpt-5-mini,zero-shot,CWE-78,251,0.9043824701195219,0.9444444444444444,0.864,0.875,0.9083969465648855
gpt-5-mini,zero-shot,CWE-79,455,0.9164835164835164,1,0.8181818181818182,0.8661971830985915,0.9283018867924528
gpt-5-mini,zero-shot,CWE-89,504,0.9226190476190477,1,0.8318965517241379,0.8745980707395499,0.9331046312178387
gpt-5-mini,zero-shot,CWE-90,59,0.9152542372881356,1,0.84375,0.84375,0.9152542372881356
gpt-5-mini,few-shot,CWE-22,268,0.9328358208955224,0.9323308270676691,0.9333333333333333,0.9323308270676691,0.9323308270676691
gpt-5-mini,few-shot,CWE-327,246,0.8780487804878049,1,0.7413793103448276,0.8125,0.896551724137931
gpt-5-mini,few-shot,CWE-328,236,0.7584745762711864,0.7829457364341085,0.7289719626168224,0.7769230769230769,0.7799227799227798
gpt-5-mini,few-shot,CWE-330,493,0.7829614604462475,0.9862385321100917,0.6218181818181818,0.6739811912225705,0.8007448789571693
gpt-5-mini,few-shot,CWE-614,67,0.9402985074626866,0.9166666666666666,0.967741935483871,0.9705882352941176,0.9428571428571428
gpt-5-mini,few-shot,CWE-643,35,0.9714285714285714,1,0.95,0.9375,0.967741935483871
gpt-5-mini,few-shot,CWE-78,251,0.9163346613545816,0.9841269841269841,0.848,0.8671328671328671,0.9219330855018586
gpt-5-mini,few-shot,CWE-79,455,0.9406593406593406,1,0.8708133971291866,0.9010989010989011,0.9479768786127168
gpt-5-mini,few-shot,CWE-89,504,0.9265873015873016,1,0.8405172413793104,0.8802588996763754,0.9363166953528399
gpt-5-mini,few-shot,CWE-90,59,0.8983050847457628,1,0.8125,0.8181818181818182,0.9
gpt-5-nano,zero-shot,CWE-22,268,0.8768656716417911,0.8872180451127819,0.8666666666666667,0.8676470588235294,0.8773234200743495
gpt-5-nano,zero-shot,CWE-327,246,0.8658536585365854,1,0.7155172413793104,0.7975460122699386,0.8873720136518771
gpt-5-nano,zero-shot,CWE-328,236,0.8220338983050848,0.7441860465116279,0.9158878504672897,0.9142857142857143,0.8205128205128205
gpt-5-nano,zero-shot,CWE-330,493,0.77079107505071,0.9128440366972477,0.6581818181818182,0.6791808873720137,0.7788649706457925
gpt-5-nano,zero-shot,CWE-614,67,0.7014925373134329,0.4444444444444444,1,1,0.6153846153846153
